,name,year,genre,imdb,meta,gross,runtime
0,Gladiator,2000,Action,8.5,67,187.71,155
1,Memento,2000,Mystery,8.5,80,25.54,113
2,Snatch,2000,Comedy,8.3,55,30.33,102
3,Requiem for a Dream,2000,Drama,8.3,68,3.64,102
4,X-Men,2000,Action,7.4,64,157.3,104
5,Cast Away,2000,Adventure,7.8,73,233.63,143
6,American Psycho,2000,Crime,7.6,64,15.07,101
7,Unbreakable,2000,Drama,7.3,62,95.01,106
8,Meet the Parents,2000,Comedy,7.0,73,166.24,108
9,Mission: Impossible II,2000,Action,6.1,59,215.41,123
10,"O Brother, Where Art Thou?",2000,Adventure,7.8,69,45.51,107
11,Gone in 60 Seconds,2000,Action,6.5,35,101.65,118
12,"Crouching Tiger, Hidden Dragon",2000,Action,7.9,93,128.08,120
13,The Patriot,2000,Action,7.2,63,113.33,165
14,Almost Famous,2000,Adventure,7.9,90,32.53,122
15,Scary Movie,2000,Comedy,6.2,48,157.02,88
16,Pitch Black,2000,Horror,7.1,49,39.24,109
17,Final Destination,2000,Horror,6.7,36,53.33,98
18,"Me, Myself & Irene",2000,Comedy,6.6,49,90.57,116
19,The Beach,2000,Adventure,6.6,43,39.79,119
20,Amores Perros,2000,Drama,8.1,83,5.38,154
21,Traffic,2000,Crime,7.6,86,124.12,147
22,Remember the Titans,2000,Biography,7.8,48,115.65,113
23,How the Grinch Stole Christmas,2000,Comedy,6.1,46,260.04,104
24,What Women Want,2000,Comedy,6.4,47,182.81,127
25,Miss Congeniality,2000,Action,6.2,43,106.81,109
26,Chocolat,2000,Drama,7.3,64,71.51,121
27,Chicken Run,2000,Animation,7.0,88,106.83,84
28,Charlie's Angels,2000,Action,5.5,52,125.31,98
29,The Emperor's New Groove,2000,Animation,7.4,70,89.3,78
30,Erin Brockovich,2000,Biography,7.3,73,125.6,131
31,High Fidelity,2000,Comedy,7.5,79,27.28,113
32,Road Trip,2000,Adventure,6.5,55,68.54,93
33,The Perfect Storm,2000,Action,6.4,59,182.62,130
34,"Dude, Where's My Car?",2000,Comedy,5.5,30,46.73,83
35,Hollow Man,2000,Action,5.7,24,73.21,112
36,Billy Elliot,2000,Drama,7.7,74,22.0,110
37,Scream 3,2000,Horror,5.6,56,89.14,116
38,Shanghai Noon,2000,Action,6.6,77,56.94,110
39,The 6th Day,2000,Action,5.9,49,34.6,123
40,What Lies Beneath,2000,Drama,6.6,51,155.46,130
41,Pay It Forward,2000,Drama,7.2,40,33.52,123
42,In the Mood for Love,2000,Drama,8.1,85,2.73,98
43,The Whole Nine Yards,2000,Comedy,6.7,47,57.26,98
44,Coyote Ugly,2000,Comedy,5.7,27,60.79,100
45,Men of Honor,2000,Biography,7.2,56,48.82,129
46,The Family Man,2000,Comedy,6.8,42,75.79,125
47,Frequency,2000,Crime,7.4,67,45.01,118
48,Dancer in the Dark,2000,Crime,8.0,61,4.18,140
49,Little Nicky,2000,Comedy,5.3,38,39.46,90
50,Bedazzled,2000,Comedy,6.0,49,37.88,93
51,The Cell,2000,Horror,6.3,40,61.33,107
52,Bring It On,2000,Comedy,6.0,52,68.38,98
53,Malèna,2000,Comedy,7.5,54,3.43,108
54,Finding Forrester,2000,Drama,7.3,62,66.4,136
55,Big Momma's House,2000,Action,5.1,33,117.56,99
56,The Road to El Dorado,2000,Animation,6.9,51,50.86,89
57,U-571,2000,Action,6.6,62,77.09,116
58,Battlefield Earth,2000,Action,2.5,9,21.47,118
59,Space Cowboys,2000,Action,6.4,73,90.46,130
60,Mission to Mars,2000,Adventure,5.6,34,60.88,114
61,Shaft,2000,Action,5.9,50,70.33,99
62,Romeo Must Die,2000,Action,6.1,52,55.97,115
63,Wonder Boys,2000,Comedy,7.4,73,19.39,107
64,The Gift,2000,Drama,6.7,62,12.01,111
65,Titan A.E.,2000,Animation,6.6,48,22.75,94
66,Vertical Limit,2000,Action,5.9,48,69.24,124
67,The Crimson Rivers,2000,Crime,6.9,49,0.63,106
68,The Replacements,2000,Comedy,6.5,30,44.74,118
69,Proof of Life,2000,Action,6.2,45,32.6,135
70,Red Planet,2000,Action,5.7,34,17.48,106
71,Best in Show,2000,Comedy,7.5,78,18.62,90
72,Thirteen Days,2000,Drama,7.3,67,34.59,145
73,The Legend of Bagger Vance,2000,Drama,6.7,47,30.7,126
74,Sexy Beast,2000,Crime,7.3,79,6.95,89
75,Quills,2000,Biography,7.3,70,7.06,124
76,Keeping the Faith,2000,Comedy,6.4,60,37.05,128
77,Dinosaur,2000,Animation,6.5,56,137.75,82
78,Boiler Room,2000,Crime,7.0,63,16.94,120
79,Nine Queens,2000,Crime,7.9,80,1.22,114
80,Nutty Professor II: The Klumps,2000,Comedy,4.4,38,123.31,106
81,Rules of Engagement,2000,Drama,6.4,45,61.34,128
82,28 Days,2000,Comedy,6.0,46,37.17,103
83,The Kid,2000,Comedy,6.1,45,69.69,104
84,Ginger Snaps,2000,Drama,6.8,70,0.0,108
85,Shadow of the Vampire,2000,Drama,6.9,71,8.29,92
86,Tigerland,2000,Drama,7.0,55,0.14,101
87,Reindeer Games,2000,Action,5.7,37,23.36,104
88,Small Time Crooks,2000,Comedy,6.7,69,17.07,94
89,Chopper,2000,Biography,7.2,65,0.23,94
90,Book of Shadows: Blair Witch 2,2000,Adventure,4.0,15,26.44,90
